epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,331.594,3.50196,0.82672,0.85083,0.77324,0.86704,0.93298,0.74838,1.99568,0.76996,0.82947,4.19895e-05,4.19895e-05,4.19895e-05
113,334.733,3.6534,0.82385,0.84931,0.76171,0.86885,0.93288,0.7575,1.94528,0.78572,0.82775,4.12246e-05,4.12246e-05,4.12246e-05
114,337.785,3.59857,0.82324,0.84719,0.76895,0.86684,0.93396,0.74229,2.06354,0.78487,0.82917,4.0462e-05,4.0462e-05,4.0462e-05
115,340.833,3.46014,0.81253,0.85226,0.78708,0.87099,0.93877,0.75366,1.99945,0.75535,0.82842,3.97019e-05,3.97019e-05,3.97019e-05
116,343.867,3.58274,0.81368,0.8483,0.82526,0.87495,0.94146,0.76511,1.93546,0.71715,0.8268,3.89445e-05,3.89445e-05,3.89445e-05
117,346.97,3.51568,0.82059,0.84781,0.84159,0.8738,0.94148,0.75681,1.99098,0.69685,0.82783,3.81899e-05,3.81899e-05,3.81899e-05
118,350.078,3.30113,0.81286,0.84788,0.82676,0.86374,0.94055,0.75964,1.94972,0.71063,0.8269,3.74383e-05,3.74383e-05,3.74383e-05
119,353.07,3.32387,0.81679,0.8546,0.83539,0.87175,0.942,0.76392,1.93824,0.69938,0.82791,3.66899e-05,3.66899e-05,3.66899e-05
120,356.157,3.595,0.82383,0.84719,0.86111,0.8834,0.94219,0.76242,1.92583,0.66784,0.82763,3.5945e-05,3.5945e-05,3.5945e-05
121,359.219,3.57139,0.81949,0.84781,0.85795,0.88389,0.94163,0.75559,1.99144,0.67422,0.82814,3.52037e-05,3.52037e-05,3.52037e-05
122,362.365,3.40684,0.80838,0.85001,0.82077,0.87211,0.93937,0.7641,1.92261,0.70824,0.82705,3.44661e-05,3.44661e-05,3.44661e-05
123,365.645,3.71674,0.82707,0.84468,0.78355,0.86773,0.93647,0.7573,1.9415,0.75285,0.82776,3.37325e-05,3.37325e-05,3.37325e-05
124,368.77,3.39764,0.80773,0.85232,0.78478,0.86922,0.93796,0.75652,1.95109,0.75369,0.82893,3.3003e-05,3.3003e-05,3.3003e-05
125,371.91,3.46461,0.81405,0.85043,0.82997,0.86588,0.94377,0.77008,1.89929,0.70948,0.82762,3.22778e-05,3.22778e-05,3.22778e-05
126,375.057,3.58618,0.80838,0.84539,0.85496,0.87495,0.94307,0.76414,1.92887,0.67715,0.82784,3.15572e-05,3.15572e-05,3.15572e-05
127,378.178,3.34261,0.80255,0.84918,0.85885,0.88017,0.94315,0.75152,1.98887,0.67798,0.82934,3.08412e-05,3.08412e-05,3.08412e-05
128,381.305,3.45527,0.81095,0.84533,0.85666,0.88874,0.9463,0.76636,1.92071,0.67372,0.82702,3.013e-05,3.013e-05,3.013e-05
129,384.424,3.50015,0.80653,0.8503,0.86937,0.89176,0.94714,0.77212,1.89543,0.65743,0.82671,2.94239e-05,2.94239e-05,2.94239e-05
130,387.622,3.46056,0.80502,0.84867,0.85894,0.89761,0.94774,0.76744,1.93318,0.66429,0.82729,2.8723e-05,2.8723e-05,2.8723e-05
131,390.746,3.52501,0.80777,0.84615,0.86459,0.89109,0.94675,0.76392,1.93336,0.66362,0.82784,2.80275e-05,2.80275e-05,2.80275e-05
132,393.841,3.56915,0.80183,0.84617,0.83474,0.86008,0.94489,0.76422,1.91678,0.71418,0.82716,2.73375e-05,2.73375e-05,2.73375e-05
133,396.936,3.5264,0.80751,0.84437,0.75615,0.87523,0.94084,0.76046,1.93765,0.79818,0.82709,2.66532e-05,2.66532e-05,2.66532e-05
134,400.018,3.46813,0.80485,0.8457,0.79667,0.87713,0.94671,0.76676,1.91381,0.73872,0.8268,2.59748e-05,2.59748e-05,2.59748e-05
135,403.22,3.39,0.80179,0.84889,0.8549,0.889,0.94696,0.77278,1.87389,0.66925,0.82634,2.53024e-05,2.53024e-05,2.53024e-05
136,406.281,3.50509,0.80565,0.84743,0.87174,0.89767,0.94698,0.76741,1.91001,0.64457,0.82672,2.46363e-05,2.46363e-05,2.46363e-05
137,409.429,3.62587,0.81228,0.84317,0.88228,0.89332,0.94871,0.7636,1.95121,0.6441,0.82778,2.39766e-05,2.39766e-05,2.39766e-05
138,412.503,3.39135,0.8055,0.84852,0.86353,0.89538,0.94872,0.7729,1.8858,0.65396,0.82623,2.33234e-05,2.33234e-05,2.33234e-05
139,415.61,3.51413,0.80524,0.84696,0.83976,0.87266,0.94572,0.76871,1.8923,0.69334,0.82603,2.26769e-05,2.26769e-05,2.26769e-05
140,418.688,3.35551,0.79928,0.8471,0.81455,0.87144,0.9442,0.76645,1.89954,0.71648,0.82569,2.20372e-05,2.20372e-05,2.20372e-05
141,421.754,3.33493,0.79625,0.84522,0.83532,0.86513,0.94647,0.7662,1.91079,0.70337,0.82598,2.14046e-05,2.14046e-05,2.14046e-05
142,424.82,3.37737,0.80438,0.8467,0.85521,0.88852,0.94596,0.76335,1.9009,0.66564,0.82681,2.07792e-05,2.07792e-05,2.07792e-05
143,427.928,3.46709,0.80171,0.8456,0.85632,0.89041,0.94617,0.76996,1.85986,0.66129,0.82596,2.01611e-05,2.01611e-05,2.01611e-05
144,430.99,3.4033,0.80168,0.84471,0.85204,0.8842,0.94738,0.77198,1.86051,0.67189,0.82543,1.95505e-05,1.95505e-05,1.95505e-05
145,434.086,3.34226,0.80169,0.84492,0.85032,0.87389,0.94832,0.76942,1.87777,0.68086,0.82518,1.89475e-05,1.89475e-05,1.89475e-05
146,437.203,3.36389,0.79102,0.84674,0.84865,0.87677,0.94794,0.77094,1.88032,0.68101,0.82487,1.83523e-05,1.83523e-05,1.83523e-05
147,440.29,3.32755,0.79609,0.8467,0.83857,0.8794,0.94742,0.77155,1.88056,0.68625,0.82465,1.77651e-05,1.77651e-05,1.77651e-05
148,443.425,3.27963,0.79158,0.84781,0.8469,0.87442,0.94728,0.77313,1.87515,0.68339,0.82492,1.71859e-05,1.71859e-05,1.71859e-05
149,446.734,3.46637,0.79558,0.84709,0.84713,0.87936,0.94849,0.7764,1.85779,0.67846,0.82423,1.66149e-05,1.66149e-05,1.66149e-05
150,449.842,3.32629,0.79231,0.84727,0.8278,0.87979,0.94896,0.77445,1.87513,0.69535,0.82509,1.60523e-05,1.60523e-05,1.60523e-05
151,452.919,3.35317,0.7931,0.84578,0.83354,0.88189,0.94914,0.77159,1.8919,0.69111,0.82593,1.54982e-05,1.54982e-05,1.54982e-05
152,456.051,3.28342,0.79007,0.84754,0.85615,0.8886,0.94954,0.77091,1.87453,0.66316,0.8262,1.49527e-05,1.49527e-05,1.49527e-05
153,459.136,3.35292,0.81033,0.8458,0.86411,0.89239,0.94975,0.7715,1.86511,0.65442,0.82515,1.44161e-05,1.44161e-05,1.44161e-05
154,462.291,3.38624,0.78886,0.84496,0.86514,0.89503,0.9497,0.76829,1.87933,0.65065,0.8251,1.38883e-05,1.38883e-05,1.38883e-05
155,465.406,3.37885,0.79317,0.84664,0.85616,0.89597,0.95014,0.76944,1.88015,0.66326,0.82525,1.33695e-05,1.33695e-05,1.33695e-05
156,468.48,3.35978,0.78525,0.84401,0.85432,0.89329,0.95052,0.77139,1.87029,0.66496,0.82539,1.28599e-05,1.28599e-05,1.28599e-05
157,471.55,3.34778,0.79157,0.845,0.85588,0.89187,0.95076,0.77164,1.86242,0.665,0.8254,1.23596e-05,1.23596e-05,1.23596e-05
158,474.66,3.51496,0.79174,0.84313,0.85497,0.88594,0.95063,0.7741,1.85624,0.66821,0.82537,1.18687e-05,1.18687e-05,1.18687e-05
159,477.719,3.40422,0.79259,0.84673,0.85048,0.88748,0.95076,0.77702,1.8537,0.67044,0.82506,1.13873e-05,1.13873e-05,1.13873e-05
160,480.945,3.41216,0.79468,0.84708,0.84448,0.88482,0.95009,0.77789,1.84114,0.67617,0.82446,1.09156e-05,1.09156e-05,1.09156e-05
161,484.099,3.36965,0.78862,0.84749,0.84894,0.88687,0.95036,0.7774,1.84565,0.67288,0.82494,1.04537e-05,1.04537e-05,1.04537e-05
162,487.206,3.37001,0.79773,0.84876,0.85174,0.88249,0.95009,0.77144,1.88226,0.67528,0.82541,1.00016e-05,1.00016e-05,1.00016e-05
163,490.303,3.33297,0.78873,0.84564,0.84413,0.88298,0.94936,0.76732,1.89874,0.67875,0.82589,9.55951e-06,9.55951e-06,9.55951e-06
164,493.412,3.42989,0.78829,0.84528,0.84865,0.88491,0.94953,0.76909,1.87867,0.67207,0.82561,9.12754e-06,9.12754e-06,9.12754e-06
165,496.473,3.18124,0.78527,0.84856,0.854,0.89542,0.94989,0.77371,1.85451,0.65951,0.82519,8.70577e-06,8.70577e-06,8.70577e-06
166,499.596,3.35961,0.78736,0.84541,0.86469,0.89609,0.95034,0.77577,1.84317,0.64888,0.82454,8.29431e-06,8.29431e-06,8.29431e-06
167,502.714,3.40581,0.78861,0.84221,0.87005,0.89324,0.95036,0.77409,1.85718,0.64891,0.82501,7.89327e-06,7.89327e-06,7.89327e-06
